Match,Server Name,Receiver Name,Server hand,Receiver hand,Date,Tournament,Best of,Court,Surface,Max_Count,Count 4,Won 4,Prob Won 4,Count 5,Won 5,Prob Won 5,Count 6,Won 6,Prob Won 6
19910829-M-US_Open-R64-Jimmy_Connors_-Michiel_Schapers,Jimmy Connors ,Michiel Schapers,L,R,19910829,US Open,5,Deuce,Hard,6,5,2,0.4,8,6,0.75,22,17,0.772727273
19910902-M-US_Open-QF-Michael_Chang-Stefan_Edberg,Michael Chang,Stefan Edberg,R,R,19910902,US Open,5,Deuce,Hard,6,13,10,0.769230769,11,7,0.636363636,28,20,0.714285714
19910902-M-US_Open-R16-Aaron_Krickstein_-Jimmy_Connors,Aaron Krickstein ,Jimmy Connors,R,L,19910902,US Open,5,Deuce,Hard,4,51,29,0.568627451,7,5,0.714285714,44,33,0.75
19910904-M-US_Open-QF-Javier_Sanchez-Stefan_Edberg,Javier Sanchez,Stefan Edberg,R,R,19910904,US Open,5,Deuce,Hard,6,12,6,0.5,,,,35,21,0.6
19910905-M-US_Open-QF-Jimmy_Connors_-Paul_Haarhuis,Jimmy Connors ,Paul Haarhuis,L,R,19910905,US Open,5,Deuce,Hard,6,8,2,0.25,6,4,0.666666667,40,28,0.7
19910907-M-US_Open-SF-Ivan_Lendl-Stefan_Edberg,Ivan Lendl,Stefan Edberg,R,R,19910907,US Open,5,Deuce,Hard,6,19,11,0.578947368,1,1,1,20,12,0.6
19910907-M-US_Open-SF-Jim_Courier-Jimmy_Connors,Jim Courier,Jimmy Connors,R,L,19910907,US Open,5,Deuce,Hard,6,34,22,0.647058824,2,2,1,44,26,0.590909091
19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg,Jim Courier,Stefan Edberg,R,R,19910908,US Open,5,Deuce,Hard,6,21,12,0.571428571,1,1,1,23,10,0.434782609
19911005-M-Sydney-SF-Stefan_Edberg-Goran_Ivanisevic,Stefan Edberg,Goran Ivanisevic,R,L,19911005,Sydney,3,Deuce,Hard,4,42,24,0.571428571,5,4,0.8,15,11,0.733333333
19911012-M-Tokyo_Indoor-SF-Stefan_Edberg-Goran_Ivanisevic,Stefan Edberg,Goran Ivanisevic,R,L,19911012,Tokyo Indoor,3,Deuce,Hard,4,30,22,0.733333333,2,2,1,10,9,0.9
19911026-M-Stockholm_Masters-SF-Aaron_Krickstein-Stefan_Edberg,Aaron Krickstein,Stefan Edberg,R,R,19911026,Stockholm Masters,3,Deuce,Hard,6,8,4,0.5,3,2,0.666666667,14,10,0.714285714
19911026-M-Stockholm_Masters-SF-Jim_Courier-Boris_Becker,Jim Courier,Boris Becker,R,R,19911026,Stockholm Masters,3,Deuce,Hard,6,18,11,0.611111111,10,6,0.6,21,13,0.619047619
19911027-M-Stockholm-F-Boris_Becker-Stefan_Edberg,Boris Becker,Stefan Edberg,R,R,19911027,Stockholm,5,Deuce,Carpet,6,27,16,0.592592593,7,5,0.714285714,35,19,0.542857143
19911102-M-Paris_Masters-SF-Jonas_Svensson-Guy_Forget,Jonas Svensson,Guy Forget,R,L,19911102,Paris Masters,3,Deuce,Hard,4,28,16,0.571428571,4,4,1,9,4,0.444444444
19911102-M-Paris_Masters-SF-Michael_Chang-Pete_Sampras,Michael Chang,Pete Sampras,R,R,19911102,Paris Masters,3,Deuce,Hard,6,12,5,0.416666667,1,0,0,17,12,0.705882353
19911103-M-Paris_Masters-F-Pete_Sampras-Guy_Forget,Pete Sampras,Guy Forget,R,L,19911103,Paris Masters,5,Deuce,Carpet,6,31,18,0.580645161,12,6,0.5,39,22,0.564102564
19911114-M-Tour_Finals-RR-Pete_Sampras-Andre_Agassi,Pete Sampras,Andre Agassi,R,R,19911114,Tour Finals,3,Deuce,Hard,6,15,12,0.8,5,1,0.2,20,16,0.8
